titre,date,duree,note,genres
Les Évadés (1994),1994,2h 22m,9.3/10,"['Epic', 'Period Drama', 'Prison Drama', 'Drama']"
The Dark Knight : Le Chevalier noir (2008),2008,2h 32m,9.0/10,"['Action Epic', 'Epic', 'Superhero', 'Action', 'Crime', 'Drama', 'Thriller']"
Inception (2010),2010,2h 28m,8.8/10,"['Action Epic', 'Adventure Epic', 'Psychological Thriller', 'Sci-Fi Epic', 'Action', 'Adventure', 'Sci-Fi', 'Thriller']"
Fight Club (1999),1999,2h 19m,8.8/10,"['Psychological Drama', 'Workplace Drama', 'Drama']"
Forrest Gump (1994),1994,2h 22m,8.8/10,"['Epic', 'Drama', 'Romance']"
Pulp Fiction (1994),1994,2h 34m,8.9/10,"['Dark Comedy', 'Drug Crime', 'Gangster', 'Crime', 'Drama']"
Interstellar (2014),2014,2h 49m,8.7/10,"['Adventure Epic', 'Epic', 'Quest', 'Sci-Fi Epic', 'Space Sci-Fi', 'Adventure', 'Drama', 'Sci-Fi']"
Matrix (1999),1999,2h 16m,8.7/10,"['Action Epic', 'Artificial Intelligence', 'Cyberpunk', 'Dystopian Sci-Fi', 'Gun Fu', 'Martial Arts', 'Sci-Fi Epic', 'Action', 'Sci-Fi']"
Le Parrain (1972),1972,2h 55m,9.2/10,"['Epic', 'Gangster', 'Tragedy', 'Crime', 'Drama']"
Le Seigneur des anneaux : La Communauté de l'anneau (2001),2001,2h 58m,8.9/10,"['Adventure Epic', 'Epic', 'Fantasy Epic', 'Quest', 'Sword & Sorcery', 'Adventure', 'Drama', 'Fantasy']"
Le Seigneur des anneaux : Le Retour du roi (2003),2003,3h 21m,9.0/10,"['Adventure Epic', 'Epic', 'Fantasy Epic', 'Mountain Adventure', 'Quest', 'Sword & Sorcery', 'Tragedy', 'Adventure', 'Drama', 'Fantasy']"
The Dark Knight Rises (2012),2012,2h 44m,8.4/10,"['Action Epic', 'Epic', 'Superhero', 'Action', 'Drama', 'Thriller']"
Seven (1995),1995,2h 7m,8.6/10,"['Cop Drama', 'Hard-boiled Detective', 'Legal Drama', 'Police Procedural', 'Psychological Thriller', 'Serial Killer', 'Crime', 'Drama', 'Mystery', 'Thriller']"
Le Seigneur des anneaux : Les Deux Tours (2002),2002,2h 59m,8.8/10,"['Adventure Epic', 'Dark Fantasy', 'Epic', 'Fantasy Epic', 'Quest', 'Sword & Sorcery', 'Adventure', 'Drama', 'Fantasy']"
Django Unchained (2012),2012,2h 45m,8.5/10,"['Dark Comedy', 'Epic', 'Period Drama', 'Western Epic', 'Comedy', 'Drama', 'Western']"
Gladiator (2000),2000,2h 35m,8.5/10,"['Action Epic', 'Adventure Epic', 'Epic', 'Period Drama', 'Sword & Sandal', 'Action', 'Adventure', 'Drama']"
Le Loup de Wall Street (2013),2013,3h,8.2/10,"['Dark Comedy', 'Docudrama', 'Epic', 'Satire', 'True Crime', 'Biography', 'Comedy', 'Crime', 'Drama', 'Financial Drama']"
Inglourious Basterds (2009),2009,2h 33m,8.4/10,"['Dark Comedy', 'Period Drama', 'Adventure', 'Drama', 'War']"
Batman Begins (2005),2005,2h 20m,8.2/10,"['Action Epic', 'Epic', 'Superhero', 'Tragedy', 'Action', 'Drama']"
Le Silence des agneaux (1991),1991,1h 58m,8.6/10,"['Police Procedural', 'Psychological Drama', 'Psychological Thriller', 'Serial Killer', 'Crime', 'Drama', 'Thriller']"
Joker (2019),2019,2h 2m,8.4/10,"['Psychological Drama', 'Psychological Thriller', 'Tragedy', 'Crime', 'Drama', 'Thriller']"
Il faut sauver le soldat Ryan (1998),1998,2h 49m,8.6/10,"['Epic', 'War Epic', 'Drama', 'War']"
Shutter Island (2010),2010,2h 18m,8.2/10,"['Psychological Thriller', 'Suspense Mystery', 'Drama', 'Mystery', 'Thriller']"
La Liste de Schindler (1993),1993,3h 15m,9.0/10,"['Docudrama', 'Epic', 'Historical Epic', 'Period Drama', 'Prison Drama', 'Biography', 'Drama', 'History']"
Avengers (2012),2012,2h 23m,8.0/10,"['Action Epic', 'Alien Invasion', 'Superhero', 'Action', 'Sci-Fi']"
